"Council","Address","Financial year","Type of audit report","Type 1 (qualified opinion)","Nature of qualified opinion 1","Description 1","Type 2 (qualified opinion)","Nature of qualified opinion 2","Description 2","Type 3 (qualified opinion)","Nature of qualified opinion 3","Description 3","Type 4 (EoM)","Nature of EoM 4","Description 4","Type 5 (EoM)","Nature of EoM 5","Description 5","Type 6 (EoM)","Nature of EoM 6","Description 6","Type 7 (Key audit matter)","Description 6","Type 8 (Other Matter Paragraph)"
"Opotiki District Council","108 St John Street
Opotiki Opotiki
New Zealand","2024/25","Non-standard","Qualified","Service performance: Water services - response time","Statement of service performance: Our work was limited in respect of resolution times for sewerage overflows and response times for customer service requests for roads and footpaths. The Council is required to report against the performance measures set out in the Non-Financial Performance Measure Rules 2024 (the Rules) made by the Secretary for Local Government. These include mandatory performance measures relating to:
• the time taken to resolve sewerage overflows; and
• the response times for customer service requests relating to roads and footpaths.
We identified significant issues with these performance measures. As explained on page 52, 61 and 62, the Council was unable to provide adequate support for the reported performance against these measures. As a result of these issues, our work was limited and there were no practical audit procedures we could apply to obtain assurance that the reported results for these measures are materially correctly stated.",,,,,,,,,,,,,,,,,,
"Invercargill City Council","101 Esk Street
Invercargill Invercargill 9810
New Zealand","2024/25","Non-standard","Qualified","Service performance: Smooth travel exposure","Statement of service performance: Our work was limited in the prior year with respect to the performance measure on the average quality of ride on the sealed local road network measured by smooth travel exposure. For the 30 June 2024 performance year, we were unable to obtain assurance over the accuracy of traffic estimate data used to calculate the performance measure, because the data was not sufficiently up to date. The actual average quality of ride on the sealed local road network in the prior year may therefore differ materially from the result reported. As a result, our work was limited and there were no practicable audit procedures we could apply to obtain assurance over the accuracy of reported performance for this performance measure for the year ended 30 June 2024, reported as comparative information. Our audit opinion on the statement of service performance for the year ended 30 June 2024 was modified accordingly.This issue has been resolved for the 30 June 2025 performance year. As the limitation on our work cannot be resolved for the 30 June 2024 year, the Council’s reported performance for this performance measure for the 30 June 2025 year may not be directly comparable with the 30 June 2024 performance information.",,,,,,,,,,,,,,,,,,
"Ashburton District Council","Cnr Havelock & Baring Streets
Ashburton Ashburton
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Buller District Council","Brougham House
6-8 Brougham Street
Westport Westport 7866
New Zealand","2024/25",,,,,,,,,,,,,,,,,,,,,,
"Hawke's Bay Regional Council","102 Vautier Street
Napier Napier
New Zealand","2024/25","Non-standard",,,,,,,,,,,,,,,,,,,,"Other Matter Paragraph","The Regional Council has chosen to report its greenhouse gas (GHG) emissions in its performance
information. Without further modifying our opinion and considering the public interest in climate
change related information, we draw attention to page 36 of the annual report. Quantifying GHG
emissions is subject to inherent uncertainty because the scientific knowledge and methodologies to
determine the emissions factors and processes to calculate or estimate quantities of GHG sources
are still evolving, as are GHG reporting and assurance standards."
"Hurunui District Council","66 Carters Rd
Amberley Amberley 7410
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Marlborough District Council","15-21 Seymour Street
Blenheim Blenheim
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Northland Regional Council","36 Water Street
Whangarei Whangarei 0148
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Otago Regional Council","Regional House
70 Stafford Street
Dunedin Dunedin
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Selwyn District Council","2 Norman Kirk Drive
10 Gorge Rd
Rolleston Rolleston 7643
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"South Taranaki District Council","Albion Street
Hawera Hawera
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Taranaki Regional Council","47 Cloton Road
Stratford Stratford
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Timaru District Council","2 King George Place
Timaru Timaru 7940
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Waimakariri District Council","215 High Street
Rangiora Rangiora
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
