School,Education region,Financial year,Type 1,Description 1,Type 2,Description 2,Type 3,Description 3,Longitude,Latitude
Ashbrook School,"Bay of Plenty, Waiariki",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,177.293762,-38.014704
Cambridge East School,Waikato,2023,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,175.471247,-37.884048
Hauturu School,Waikato,2022,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,174.930091,-38.10415
Hikutaia School,Waikato,2022,Limitation,Our audit was limited because we were unable to get enough assurance about payments to relief teachers. The Board did not have appropriate supporting records for those payments.,,,,,175.656921,-37.295504
Horotiu School,Waikato,2023,Limitation,Our audit was limited because we could not get enough assurance about fundraising revenue and community grants. The Board had limited controls over those revenues.,,,,,175.204649,-37.70081
Huntly West School,Waikato,2023,Highlighted matter,We highlighted that the school did not bank cash receipts in a timely manner during the years from 2021 to 2023. The school banked the 2021-2022 cash in 2023 and the 2023 cash receipts on 4 June 2024. There were discrepancies of $192 because of the unreconciled differences between the cash records and receipts during the three years.,,,,,175.150134,-37.558865
Kerepehi School,Waikato,2021,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2022.,,,,,175.540884,-37.297058
Matata School,"Bay of Plenty, Waiariki",2022,Limitation,"Our audit was limited for the current and comparative years because we were unable to obtain sufficient appropriate evidence to determine the completeness of the provision for cyclical maintenance. The Board was supposed to, but did not, prepare and annually review a property plan that includes all the maintenance requirements of the school over a 10-year period.",,,,,176.759104,-37.893318
Matata School,"Bay of Plenty, Waiariki",2023,Limitation,"Our audit was limited for the current and prior year because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,176.759104,-37.893318
Ngakonui Valley School,Waikato,2023,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,175.315069,-38.822018
Ohinewai School,Waikato,2023,Highlighted matter,We drew attention to the Board breaching the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2024.,,,,,175.157807,-37.492892
Otewa School,Waikato,2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,175.289319,-38.228415
Otonga Road School,"Bay of Plenty, Waiariki",2022,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,176.234477,-38.161953
Pongakawa School,"Bay of Plenty, Waiariki",2023,Highlighted matter,"We drew attention to disclosures outlining the uncertainty over a number of the school's blocks having been identified by the Ministry of Education to have weathertightness issues. While the school continues to set funds aside in line with its previous painting plan, it is uncertain about how the Ministry of Education’s weathertightness project will affect the school and the property maintenance it is obliged to carry out.",,,,,176.476931,-37.837505
Saint Francis School (Thames),Waikato,2022,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,175.546126,-37.143547
Taumarunui Primary School,Waikato,2023,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred the deficit during the financial year and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,175.27109,-38.883558
Thames South School,Waikato,2022,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,175.54827,-37.14458
Waikaretu School,Waikato,2023,Limitation,Our audit was limited because we were unable to get enough assurance about payments to relief teachers. The  Board did not have appropriate supporting records for those payments.,,,,,174.83214,-37.543431
Crawshaw School,Waikato,2022,Limitation,Our audit was limited because we were unable to get enough assurance about payments to relief teachers. The Board did not have appropriate supporting records for those payments.,,,,,175.232276,-37.773944
Cardinal McKeefry School (Wilton),Wellington,2023,Highlighted matter,We drew attention to the Board breaching the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2024.,,,,,174.756973,-41.275843
Fairhall School,"Nelson, Marlborough, West Coast",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,173.896787,-41.530597
Gracefield School,Wellington,2022,Highlighted matter,We drew attention to disclosures outlining that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,174.915621,-41.231665
Kelson School,Wellington,2023,Highlighted matter,We drew attention to the Board breaching the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2024.,,,,,174.933121,-41.180638
Korokoro School,Wellington,2023,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2024.,,,,,174.867211,-41.215812
Linkwater School,"Nelson, Marlborough, West Coast",2023,Limitation,"Our audit was limited in respect of the comparative information included in the financial statements because, in the prior year we had been unable to get enough audit evidence to support the fundraising revenue. However, for the current year ended on 31 December 2023, we were able to obtain sufficient assurance that the fundraising revenue was not materially misstated.",,,,,173.87947,-41.289162
Mayfield School (Blenheim),"Nelson, Marlborough, West Coast",2022,Highlighted matter,We drew attention to the disclosures in the financial statements that referred to the school having reversed its provision of cyclical maintenance because there was a significant uncertainty about what the property maintenance the School is obliged to carry out as it is part of the Capital Works Modernisation Project.,,,,,173.95493,-41.499975
Mayfield School (Blenheim),"Nelson, Marlborough, West Coast",2023,Highlighted matter,We drew attention to the disclosures that referred to the school having reversed its provision of cyclical maintenance because there was a significant uncertainty about how the how the Capital Works Modernisation Project will affect the school and the property maintenance its obliged to carry out.,,,,,173.95493,-41.499975
Saint Francis De Sales School (Is.Bay),Wellington,2023,Highlighted matter,We drew attention to the fact that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2024.,,,,,174.77506,-41.337887
Saint Teresa's School (Featherston),Wellington,2023,Highlighted matter,We drew attention to the fact that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2024.,,,,,175.328753,-41.115136
Wainuirou School,Wellington,2022,Highlighted matter,We drew attention to disclosures outlining that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,175.809549,-41.037253
Brooklyn School (Motueka),"Nelson, Marlborough, West Coast",2023,Limitation,"Our audit was limited for the current and prior years because we could not get enough assurance about the receipt of donations and fundraising revenues. The Board had limited controls over those revenues. Our audit was also limited for the current and prior years because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,172.971174,-41.09507
Granity School,"Nelson, Marlborough, West Coast",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,171.85248,-41.630018
Ranzau School,"Nelson, Marlborough, West Coast",2022,Highlighted matter,We drew attention to the disclosures in the financial statements that referred to the school having reversed its provision of cyclical maintenance because there was a significant uncertainty about how the Ministry of Education’s School relocation will affect the school and the property maintenance it is obliged to carry out.,,,,,173.148589,-41.348834
Banks Avenue School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.660004,-43.512915
Belfast School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.627302,-43.453618
Casebrook Intermediate,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.603796,-43.481806
Chisnallwood Intermediate,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.688993,-43.509808
Cobham Intermediate School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.583791,-43.510467
