School,Education region,Financial year,Type 1,Description 1,Type 2,Description 2,Type 3,Description 3,Longitude,Latitude
Marshland School,"Canterbury, Chatham Islands",2024,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.664748,-43.472028
Pareawa Banks Avenue School,"Canterbury, Chatham Islands",2024,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.660004,-43.512915
Parkview Pārua School,"Canterbury, Chatham Islands",2024,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.705631,-43.4806
Shirley School,"Canterbury, Chatham Islands",2024,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.653152,-43.507888
South New Brighton School,"Canterbury, Chatham Islands",2024,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.733527,-43.52622
Sumner School,"Canterbury, Chatham Islands",2024,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. In addition, the provision has been recorded in the current year without restating the comparative information, which could affect the results of operations, opening retained earnings and comparability of the current period’s figures and the corresponding figures.",,,,,172.759628,-43.573098
Wairakei School (Christchurch),"Canterbury, Chatham Islands",2024,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.588282,-43.500167
Whītau School,"Canterbury, Chatham Islands",2024,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard. Subsequent to year end, the Board has completed a maintenance plan. However, we have been unable to perform sufficient, appropriate audit procedures to determine the possible effect on the financial statements.",,,,,172.675792,-43.524848
Ararimu School,Tāmaki Herenga Waka,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. We drew attention to disclosures outlining the uncertainties over the maintenance the school needs to carry out on several school buildings having weathertightness issues and the Ministry of Education's decision on what to do with them. ",,,,,175.037192,-37.140652
Bankwood School,Waikato,2024,Limitation,"Our audit was limited because we could not get enough assurance about the completeness of of locally raised funds revenue such as sport fees, uniform and book club receipts.  As a result of the limited controls over cash receiptimg, the Board estimated a loss of $4,155 cash from fraudulent activity. There are no satisfactory audit proocedures that we could use to quantify the full financial impact.",,,,,175.276101,-37.754911
Blockhouse Bay School,Tāmaki Herenga Manawa,2024,Limitation,"Our audit was limited because we were unable to determine the carrying value of the school's buildings as at year end. The school identified a weathertightness failure in itsPerforming Arts Hall. The school has obtained the estimated cost for the remedial work to resolve the weathertightness failure, which is between $400,000 and $2,000,000, but has not evaluated the amount of impairment required for the building. This is because the extent of damages due to the weathertightness failure can only be known after actual remediation work is carried out in the future.",,,,,174.702162,-36.924902
Granity School,"Nelson, Marlborough, West Coast",2024,Limitation,"Our audit was limited in respect of the comparative information included in the financial statements because, in the prior year  the school did not recognise a cyclical maintenance provision for its obligation to the Ministry of Education to keep the land and buildings in good order and repair. However, for the current year ended on 31 December 2024, the Board has appropriately recorded a provision for cyclical maintenance in accordance with the financial reporting standards.",,,,,171.85248,-41.630018
Mount Richmond School,Tāmaki Herenga Waka,2023,Limitation,We Board did not comply with the Property Occupancy Document which requires the Board to prepare and annually review a property plan that includes all the maintenance requirements of the school over a continuous ten-year period. The school has not prepared its long-term maintenance planning and not independently assessed by a qualified person in the last three years.,,,,,174.841867,-36.93942
Saint Joseph's School (Dargaville),Tai Tokerau,2024,Limitation,The board has a provision for cyclical maintenance based on an outdated 10-year property plan. In this respect we do not have all the infoamtion and explanations we need to support the amount of the cyclical maintenance provision recognised in the school's financial statements. ,,,,,173.862788,-35.935344
Taipa Area School,Tai Tokerau,2024,Limitation,"Our audit was limited because we could not get enough assurance over revenue and costs recorded in the financial statements in the Locally Raised Funds note, relating to Extra Curricular Activities. We were unable to confirm the funds received and the expenses incurred for an overseas trip to Hawaii. The Board had limited controls over those revenues and expenditure. There were no satisfactory audit rpocedures that we could adopt to confirmt that all revenue and expenses relaetd to this trip had been adequately recorded.",,,,,173.464302,-34.994709
Te Wharekura o Ruatoki,"Bay of Plenty, Waiariki",2022,Limitation,"Our audit was limited for the current and prior year's financial statements because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,177.007448,-38.148073
Te Wharekura o Ruatoki,"Bay of Plenty, Waiariki",2023,Limitation,"Our audit was limited for the current and prior year's financial statements because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,177.007448,-38.148073
The Taumarunui High School Community Trust,Tāmaki Herenga Manawa,2024,Limitation,"Our audit was limited because we could not get enough assurance about donations and other sales revenue. The Board had limited controls over those revenues, and there was no practical audit procedures to determine the effect of this limited control.",,,,,174.770963,-36.919501
Laingholm School,Tāmaki Herenga Tāngata,2022,Limitation,The Board did not comply with the Property Occupancy Document which requires the Board to prepare and annually review a property plan that includes all the maintenance requirements of the school over a continuous ten-year period. The school has not prepared its long-term maintenance planning and not independently assessed by a qualified person in the last three years.,Highlighted matter,The school is experiencing serious financial difficulties. The school has incurred a deficit during the year and relies on support from the Ministry of Education to meet its obligations as they fall due. ,,,174.627211,-36.962451
Southland Boys' High School,"Otago, Southland",2024,Limitation,Our audit was limited because we could not confirm the value of inventory of school uniforms at 31 December 2024 as recorded in the financial statements. This is because we were not able to observe the physical stocktake of the inventory or confirm the inventory quantities by alternative means. ,,,,,168.359101,-46.395635
Ohuka School,"Hawke's Bay, Tairāwhiti",2024,Limitation,Our audit was limited because we were unable to obtain sufficient appropriate audit evidence over the existence of the livestock at 31 December 2024. We we unable to attend a stock take of the livestock which the school recognised  as an an investment as at 31 December 2024. The livestock are farmed on properties by local farmers on behalf of the school which receives proceeds from the sale of livestock to raise funds for the school’s bus. ,,,,,177.2951,-38.815773
Bairds Mainfreight Primary School,Tāmaki Herenga Waka,2024,Limitation,"We were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete because the school did not have a current plan for cyclical maintenance. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",Limitation,"We could not get enough assurance about the revenue collected for uniforms, the related expenses and value of school uniform held at the balance date. The Board had limited controls over those revenues, expenses and inventories.",,,174.86696,-36.959509
Elmwood Normal School,"Canterbury, Chatham Islands",2024,Limitation,"Our audit was limited in respect of the comparative information included in the financial statements because, in the prior year the Boar did not recognise a cyclical maintenance provision for its obligation to the Ministry of Education to keep the land and buildings in good order and repair. However, for the current year ended on 31 December 2024, the Board has appropriately recorded a provision for cyclical maintenance in accordance with GAAP.",,,,,172.614755,-43.513814
Hatea-A-Rangi School,"Hawke's Bay, Tairāwhiti",2019,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,178.315128,-38.131952
Hatea-A-Rangi School,"Hawke's Bay, Tairāwhiti",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,178.315128,-38.131952
Heaton Normal Intermediate,"Canterbury, Chatham Islands",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a current plan for cyclical maintenance. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,172.615408,-43.510414
Horotiu School,Waikato,2024,Limitation,Our audit was limited because we could not get enough assurance about the fundraising revenue and community grants. The Board had limited controls over those revenues.,,,,,175.204649,-37.70081
Kaikoura High School,"Nelson, Marlborough, West Coast",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.674454,-42.400438
Kaingaroa Forest School,"Bay of Plenty, Waiariki",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,176.569432,-38.407687
Leithfield School,"Canterbury, Chatham Islands",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The plan for cyclical maintenance does not currently include a provision for maintenance on specific buildings. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,172.740036,-43.197813
Lyttelton Primary School,"Canterbury, Chatham Islands",2024,Limitation,"Our audit was limited in respect of the comparative information included in the financial statements because, in the prior year  the school did not recognise a cyclical maintenance provision for its obligation to the Ministry of Education to keep the land and buildings in good order and repair. However, for the current year ended on 31 December 2024, the Board has appropriately recorded a provision for cyclical maintenance in accordance with the financial reporting standards.",,,,,172.723168,-43.602344
Mangakōtukutuku College,Waikato,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a 10-year Property Plan. Due to the absence of evidence, it is possible that this provision could be materially misstated.",Limitation," Or audit was limited because we were unable to determine whether any adjustments were needed to the value of Property, Plant and Equipment recorded in the school's financila statements because the school, which operates from the existing premises of two former schools (Melville Intermediate and Melville High School) inherited significant property, plant and equipment from these schools. At the time the audit report was signed the predecessor schools had not completed the audit of their financial statements.",,,175.281521,-37.816878
Matata School,"Bay of Plenty, Waiariki",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,176.759104,-37.893318
Matatoki School,Waikato,2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.603397,-37.206692
Matatoki School,Waikato,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.603397,-37.206692
Nelson Christian Academy,"Nelson, Marlborough, West Coast",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.244053,-41.31628
Okiwi School,Tāmaki Herenga Manawa,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school has not provided a schedule of maintenance or quotes to support the maintenance needed to be carried out on its buildings. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.394316,-36.154207
Omarumutu School,"Bay of Plenty, Waiariki",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,177.405099,-37.99652
Piopio College,Waikato,2024,Limitation,"Our audit was limited because we could not get enough assurance about donations, fees for extra curricular activities, trading, curriculum related activities income and other revenue. The Board had limited controls over those revenues.",,,,,175.014155,-38.472653
Ranui School,Tāmaki Herenga Tāngata,2021,Limitation,"Our audit was limited because we could not get enough assurance about the completeness of expenditure incurred by the School, because of a lack of supporting invoices or receipts which were unavailable for our inspection.",,,,,174.603406,-36.865845
Reremoana Primary School,Tāmaki Herenga Waka,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.877018,-37.05066
Richmond View School,"Nelson, Marlborough, West Coast",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.943363,-41.526405
Rongomai School,Tāmaki Herenga Waka,2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a current plan for cyclical maintenance. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.889019,-36.968476
Royal Oak Intermediate School,Tāmaki Herenga Manawa,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.774516,-36.915792
Rudolf Steiner School (Chch),"Canterbury, Chatham Islands",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,172.659135,-43.560087
Saint Francis School (Pt.Chevalier),Tāmaki Herenga Manawa,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a current plan for cyclical maintennce. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.708386,-36.870176
Saint Patrick's School (Panmure),Tāmaki Herenga Manawa,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.857072,-36.902249
Taita Central School,Wellington,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.955351,-41.180931
Tamaki School,Tāmaki Herenga Manawa,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school has not updated its cyclical maintenance plan because a redevelopment is planned for the School. This introduces uncertainty as to the future maintenance obligations and their timing. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.864784,-36.894564
Tasman Bay Christian School,"Nelson, Marlborough, West Coast",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a current plan for cyclical maintenance. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.055609,-41.195405
Te Huruhi School,Tāmaki Herenga Manawa,2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a current plan for cyclical maintenance. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.028103,-36.800746
Te Kura Kaupapa Motuhake O Tawhiuau,"Bay of Plenty, Waiariki",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,176.70927,-38.460994
Te Kura Kaupapa O Waioweka,"Bay of Plenty, Waiariki",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,177.293329,-38.083395
Te Kura O Torere,"Bay of Plenty, Waiariki",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,177.493744,-37.947644
Te Waha O Rerekohu Combined Schools Board,"Hawke's Bay, Tairāwhiti",2023,Limitation,"Our audit for the current and prior years was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,178.365549,-37.633719
Te Wharekura o Ruatoki,"Bay of Plenty, Waiariki",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a plan for cyclical maintennce. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,177.007448,-38.148073
Timaru Christian School,"Canterbury, Chatham Islands",2024,Limitation,"Our audit was limited in respect of the comparative information included in the financial statements because, in the prior year  the school did not recognise a cyclical maintenance provision for its obligation to the Ministry of Education to keep the land and buildings in good order and repair. However, for the current year ended on 31 December 2024, the Board has appropriately recorded a provision for cyclical maintenance in accordance with the financial reporting standards.",,,,,171.228316,-44.403579
Waimana School,"Bay of Plenty, Waiariki",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,177.072258,-38.143098
Waimana School,"Bay of Plenty, Waiariki",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,177.072258,-38.143098
Wairau Valley School (Blenheim),"Nelson, Marlborough, West Coast",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.527347,-41.562571
Westport North School,"Nelson, Marlborough, West Coast",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,171.608397,-41.747607
Fraser High School,Waikato,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have an updated cyclical maintenance plan. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",Highlighted matter,"We highlighted that the schoool spent $9,334 of the school's operational funding, tagged as the principal's professional coaching and wellbeing support, on the principal's research studies of the challenges faced by indigeneous peoples in education in Alaska and Canada. While the expenditure was consistent with the purposes of funding, the school did not provide enough evidence for all expenditure, particularly spending during stopovers and tourist activities to support a clear business purpose. The school may need to obtain concurrence from the Ministry of Education for such spending that may confer a personal benefit for the principal.",,,175.244737,-37.784283
Glenbervie School,Tai Tokerau,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a current plan for cyclical maintenance. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.347871,-35.675883
Maraenui Bilingual School (Napier),"Hawke's Bay, Tairāwhiti",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a current plan for cyclical maintenance. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",Highlighted matter,"We highlighted that the school paid $9,086 for a trip for the principal to attend the tangi of a relative of the principal. The school also paid $7,058 for the principal and a family member to Rarotonga. While the expenditure was approved by the board, the school did not provide sufficient evidence that the expenditure incurred had a clear business purpose linked to student outcomes. It was therefore not possible to assess whether the funds have been spent in accordance with the school’s policies, and the expectations for the use of public funds",,,176.905655,-39.513585
Pitt Island School,"Canterbury, Chatham Islands",2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,183.765301,-44.243558
Clayton Park School,Tāmaki Herenga Waka,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a current plan for cyclical maintenance. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.896892,-37.041063
Kaitoke School (Claris),Tāmaki Herenga Manawa,2024,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school has not provided a schedule of maintenance or quotes to support the maintenance needed ton itsbuildings. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.472761,-36.256771
Laingholm School,Tāmaki Herenga Tāngata,2021,Limitation,The Board did not comply with the Property Occupancy Document which requires the Board to prepare and annually review a property plan that includes all the maintenance requirements of the school over a continuous ten-year period. The school has not prepared its long-term maintenance planning and not independently assessed by a qualified person in the last three years.,Highlighted matter,The school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. ,,,174.627211,-36.962451
Mataura School,"Otago, Southland",2023,Limitation,Our audit was limited because we could not get enough assurance about the fundraising revenue. The Board  had limited controls over that revenue.,,,,,168.862887,-46.193131
Aorangi School (Rotorua),"Bay of Plenty, Waiariki",2023,Highlighted matter,"We drew attention to disclosures outlining two matters. First, the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. Last, during the Limited Statutory Manager's review of the school's finance, some spending on the credit card during 2023 were identified not to have a clear business purpose.",,,,,176.207999,-38.131962
Apanui School,"Bay of Plenty, Waiariki",2024,Highlighted matter,"We highlighted that the school reimbursed the former principal $,9000 (of funding tagged to be spent on the principal's professional coaching and wellbeing support) for a trip to Europe to visit and gain insightsfrom  some schools . As there was no detailed breakdown of the expenditure incurred or receipts to support the expenditure and no evidence of the board's approval, there was no clear business purpose for the spending linked to the school's objectives. It was also not clear whether the funds were spent in accordance with the school's policies and the expectations for the use of public funds. In addition, the school breached the law for not keeping accounting records that correctly explain the transactions.",,,,,176.989579,-37.95703
Auckland Grammar,Tāmaki Herenga Manawa,2024,Highlighted matter,"We drew attention to disclosures outlining that during 2024, the school and group dissolved the Auckland Grammar School Combined Trust (the Combined Trust). $2 million of the Combined Trust's assets (previously reported on as part of Auckland Grammar's Group financial statements) were transferred, as a donation, to the Auckland Grammar School Headmasters Council. At 31 December 2024, the Combined Trust has no assets or liabilities. The Auckland Grammar School financial statements do not include information about the financial transactions and balances of the Headmasters Council, because it is not controlled by the school board and is not a public entity. ",,,,,174.768851,-36.869414
Bulls School,"Taranaki, Whanganui, Manawatū",2024,Highlighted matter,"We highlighted that the school paid $9,434 for a trip for the principal to Rarotonga from the school's 2024 professional coaching and wellbeing support funding. However, the school was unable to provide evidence of the business purpose for this spending or how it related to the school's objectives. Paying for personal travel of a staff member  is not consistent with the school’s travel policy. ",,,,,175.385156,-40.168741
Bunnythorpe School,"Taranaki, Whanganui, Manawatū",2021,Highlighted matter,"We drew attention to the fact that during 2021 the Board discovered a misappropriation of funds. These funds were subsequently returned to the school in 2025. As this occurred before the 2021 financial statements were prepared, the school has adjusted the financial statements to reflect the fact that the misappropriated funds were recoverable.",,,,,175.633029,-40.282352
Cambridge East School,Waikato,2024,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,175.471247,-37.884048
Cannington School,"Canterbury, Chatham Islands",2024,Highlighted matter,"We highlighted that the school approved and paid  $5,000 of the school's operational funding, tagged to be spent on the principal's professional coaching and wellbeing support toward the principal and spouse's overseas trip. However, there was no clear business purpose for the spending and receipts were not provided. It was therefore not possible to assess whether the funds were spent according with expectations for the use of public funds and the school's travel policy. In addition, the Board has no requested concurrence from the Ministry of Education for the additonal payment to the principal and breached the law for not keeping accounting records to correctly explain the transactions of the school. ",,,,,170.93677,-44.357499
Cardinal McKeefry School (Wilton),Wellington,2024,Highlighted matter, We drew attention to disclosures outlining that the school had appropriately prepared the financial statements on a disestablishment basis because the school is closing on 15 December 2025.,,,,,174.756973,-41.275843
Cobham School,"Hawke's Bay, Tairāwhiti",2022,Highlighted matter, We drew attention to disclosures outlining that the school had appropriately prepared the financial statements on a disestablishment basis because the school was closed as at 27 June 2025.,,,,,177.994649,-38.660385
Cobham School,"Hawke's Bay, Tairāwhiti",2023,Highlighted matter, We drew attention to disclosures outlining that the school had appropriately prepared the financial statements on a disestablishment basis because the school was closed as at 27 June 2025.,,,,,177.994649,-38.660385
Coley Street School,Wellington,2024,Highlighted matter,"We highlighted that the school paid $12,000 for travel to a four-day conference in Vancouver for the principal and his spouse from the school's professional coaching and wellbeing support funding. However, because there were no detailed receipts to support the expenditure, it was not possible to assess whether there was a clear business purpose for this spending, and whether the funds have been spent in accordance with the expectations for the use of public funds. Paying for personal travel of a staff member and family members is not consistent with the school’s travel policy. ",,,,,175.293132,-40.475634
Dalefield School,Wellington,2024,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has negative working capital due to the Board's undertaking to develop the playground. The school relies on support from the Ministry of Education (MOE) to meet its obligations as they fall due. The MOE considers the school has appropriately prepared the financial statements on a going concern assumption.,,,,,175.477597,-41.025385
Excellere College,Tai Tokerau,2023,Highlighted matter,"We highlighted that the school failed to comply with the law by not seeking authority from the Ministers of Education and Finance for borrowing which, in aggregate, involves repayment of interest and capital in excess of one tenth of the school's operational activities grant for the year.",,,,,174.298573,-35.669702
Fairfield College,Waikato,2024,Highlighted matter,"We highlighted that the school paid $17,155 for the principal to travel to Alaska, and Canada to research challenges facing indigenous peoples in education. Expenditure incurred included about $2,900 on accommodation and other expenses in Hawaii and New York. While the principal’s travel through Alaska and Canada was for the purposes of research, and therefore consistent with the purposes of the funding, the school did not provide sufficient evidence that all expenditure incurred had a clear business purpose, in particular spending during the stopovers in Hawaii, and New York, and spending on tourist activities in Canada and Alaska. In addition, spending that confers or could potentially confer a personal benefit for the principal requires concurrence from the Ministry of Education.",,,,,175.27696,-37.76277
Glenfield College,Tāmaki Herenga Tāngata,2024,Highlighted matter,"We drew attention to disclosures outlining that following the principal’s passing in February 2024, the school made a contribution to his family of $11,035 which included unspent professionl and wellbeing support funding. ",,,,,174.714953,-36.779801
Glenview School (Hamilton),Waikato,2024,Highlighted matter,"We highlighted that the school spent $29,458 on the principal's overseas travel to Canada for the Ulead Conference in Montreal, to Vietnam with the Presiding Member of the board for marketing the school, and to Samoa for conducting a site visit for a potential future kapa haka trip. These trips had a business purpose consistent with the school's strategy but there were not enough evidence that all the expenditure incurred had a clear business purpose or was spent in accordance with the expectations for the use of public funds. The school breached the law for not keeping accounting records to correctly explain the transactions of the school.",,,,,175.290754,-37.81635
Gore High School,"Otago, Southland",2023,Highlighted matter,We drew attention to the fact that the school faced significant uncertainty over property maintenance because the school is to be rebuilt and a masterplan is being prepared for this rebuild. ,,,,,168.9299,-46.1037
Haeata Community Campus,"Canterbury, Chatham Islands",2024,Highlighted matter,"We highlighted that the school paid $18,500 for a trip to Queenstown for Senior Leadership Team members funded partly from the school's 2023 and 2024 professional coaching and wellbeing support funding for the principal. The purpose of the trip was to visit a local school which is part of the Private Public Partnership network and as a team building opportunity. Expenditure incurred included about $10,000 on accommodation, and $6,000 on meals, drinks, and tourist activities in Queenstown. While the school has explained that there was a business purpose for the trip, the school did not provide sufficient evidence that all expenditure incurred as part of the trip had a clear business purpose. In addition, the school's professional coaching and wellbeing support funding was used not for the purposes for which it was provided.",,,,,172.696693,-43.514761
